Comparison_Pair,KDE_Name,Compliance_Score,Passed_Resources,Failed_Resources,Scan_Status
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Pod_Security_Standards,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Image_Registry_and_Image_Scanning,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Logging,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Cluster_Networking,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Kubelet,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,CNI_Plugin,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r2-kdes.yaml,Worker_Node_Configuration_Files,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Pod_Security_Standards,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Image_Registry_and_Image_Scanning,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Logging,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Cluster_Networking,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Kubelet,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,CNI_Plugin,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r3-kdes.yaml,Worker_Node_Configuration_Files,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Pod_Security_Standards,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Image_Registry_and_Image_Scanning,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Logging,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Cluster_Networking,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Kubelet,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,CNI_Plugin,26.96%,0,0,Passed
cis-r1-kdes.yaml_vs_cis-r4-kdes.yaml,Worker_Node_Configuration_Files,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r3-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,Image_Registry_and_Image_Scanning,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,Pod_Security_Standards,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,Cluster_Networking,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,Kubelet,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,CNI_Plugin,26.96%,0,0,Passed
cis-r2-kdes.yaml_vs_cis-r4-kdes.yaml,Worker_Node_Configuration_Files,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,Image_Registry_and_Image_Scanning,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,Pod_Security_Standards,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,RBAC_and_Service_Accounts,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,Cluster_Networking,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,Kubelet,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,CNI_Plugin,26.96%,0,0,Passed
cis-r3-kdes.yaml_vs_cis-r4-kdes.yaml,Worker_Node_Configuration_Files,26.96%,0,0,Passed
